file_name	bundle_id	tier	provenance	invoked	invoked_by	rel_path	sha256_12	upstream_file	notes
calculate_pepmz.m	CR	T1	T1	yes	H3_01_3_8,H3_02_9_17,H3_02a_9_17,H3_02b_9_17,H3_03_18_26,H3_04_27_40,H3_04a_27_40,H3_04v3_27_40,H3_04v3a_27_40,H3_05_41_49,H3_06_53_63,H3_06a_53_63,H3_07_73_83,H3_08_117_128,H3_09u_64_135,H3_11_3_8,H3_12_9_17,H3_13_18_26,H3_14_27_40,H3_16_53_63,H3_17_73_83,H3_18_117_128,H4_01_4_17,H4_02_20_23,H4_02a_18_23,H4_02b_20_35,H4_03_24_35,H4_04_40_45,H4_05_68_78,H4_06_79_92,H4_07u_24_102,HH2A_01u_1_7,HH2B_01u_104_145	TIER1/calculate_pepmz.m	19056e6268f2	calculate_pepmz.m	
check_layout.m	CR	T4	T1	no		TIER1/check_layout.m	42e4ce15228a	check_layout.m	
DrawISOProfile0.m	CR	T1	T1	yes	EpiProfile	TIER1/DrawISOProfile0.m	8185dec8d5b8	DrawISOProfile0.m	
DrawISOProfile2.m	CR	T1	T1	yes	EpiProfile	TIER1/DrawISOProfile2.m	469a8121d694	DrawISOProfile2.m	
find_pair.m	CR	T1	T1	yes	H3_01_3_8,H3_04a_27_40,H3_04v3a_27_40,H3_06_53_63,H3_07_73_83,H4_02_20_23,H4_02a_18_23,H4_02b_20_35	TIER1/find_pair.m	d0a09f725056	find_pair.m	
find_pair_new.m	CR	T1	T1	yes	H3_02_9_17,H3_02a_9_17,H3_02b_9_17	TIER1/find_pair_new.m	909b2899471d	find_pair_new.m	
find_triple.m	CR	T1	T1	yes	H3_04_27_40,H3_04v3_27_40	TIER1/find_triple.m	6bce872ff746	find_triple.m	
get_area.m	CR	T1	T1	yes	get_histone0,get_histone1,get_histone10,get_histone11,get_histone12,get_histone13	TIER1/get_area.m	2529f388dc2d	get_area.m	
get_histone4.m	CR	T1	T1	yes	H4_01_4_17	TIER1/get_histone4.m	b320e957b9e3	get_histone4.m	
get_histone6.m	CR	T1	T1	yes	H4_01_4_17	TIER1/get_histone6.m	800eebb8730b	get_histone6.m	
get_key_ions.m	CR	T1	T1	yes	get_histone2,get_histone22,get_histone4,get_histone6	TIER1/get_key_ions.m	b84c24bf9690	get_key_ions.m	
